subject,object,maxClinicalTrialPhase
CHEMBL1023,EFO_0000432,4.0
CHEMBL1023,MONDO_0007254,4.0
CHEMBL102358,HP_0003326,2.0
CHEMBL102358,HP_0002829,2.0
CHEMBL1024,EFO_0000564,4.0
CHEMBL1024,EFO_1001042,4.0
CHEMBL1024,MONDO_0011934,4.0
CHEMBL1024,EFO_0005088,4.0
CHEMBL1024,EFO_0002428,4.0
CHEMBL1024,EFO_0005561,4.0
CHEMBL1024,EFO_1001365,4.0
CHEMBL1024,EFO_0000574,4.0
CHEMBL1024,EFO_0002618,4.0
CHEMBL1024,EFO_0001376,4.0
CHEMBL1024,MONDO_0044917,4.0
CHEMBL1024,EFO_0000198,4.0
CHEMBL1024,EFO_0000220,4.0
CHEMBL1024,MONDO_0000870,4.0
CHEMBL1024,EFO_0007143,4.0
CHEMBL1024,EFO_0000437,4.0
CHEMBL1024,EFO_1001938,4.0
CHEMBL1024,MONDO_0007254,4.0
CHEMBL1024,MONDO_0005094,4.0
CHEMBL1024,MONDO_0008170,4.0
CHEMBL1024,EFO_0000239,4.0
CHEMBL1024,EFO_0000637,4.0
CHEMBL1024,MONDO_0002974,4.0
CHEMBL1024,EFO_0000096,4.0
CHEMBL1024,EFO_0000222,4.0
CHEMBL1024,EFO_0000403,4.0
CHEMBL1024,MONDO_0002087,4.0
CHEMBL1024,EFO_0009708,4.0
CHEMBL1024,MONDO_0002715,4.0
CHEMBL1024,EFO_0000760,4.0
CHEMBL1024,MONDO_0017387,4.0
CHEMBL1024,MONDO_0000873,4.0
CHEMBL1024,EFO_0003032,4.0
CHEMBL1024,EFO_0000569,4.0
CHEMBL1024,EFO_0003060,4.0
CHEMBL1024,MONDO_0002158,4.0
CHEMBL1024,EFO_1001469,4.0
CHEMBL1024,MONDO_0009348,4.0
CHEMBL1024,EFO_0000183,4.0
CHEMBL1024,MONDO_0002601,4.0
CHEMBL1024,MONDO_0019004,4.0
CHEMBL1024,EFO_0000621,4.0
CHEMBL1024,EFO_0000691,4.0
CHEMBL1024,MONDO_0018906,4.0
CHEMBL1024,EFO_1001968,4.0
CHEMBL1024,MONDO_0003751,4.0
CHEMBL1024,EFO_0000174,4.0
CHEMBL1024,EFO_0003968,4.0
CHEMBL1024,EFO_0000702,4.0
CHEMBL1024,EFO_0000209,4.0
CHEMBL1024,EFO_0002918,4.0
CHEMBL1024,MONDO_0003510,4.0
CHEMBL1024,MONDO_0001325,4.0
CHEMBL1024,MONDO_0002678,4.0
CHEMBL1024,EFO_0004252,4.0
CHEMBL1024,EFO_0000514,4.0
CHEMBL1024,EFO_0000248,4.0
CHEMBL1024,EFO_0005952,4.0
CHEMBL1024,EFO_1000158,4.0
CHEMBL1024,MONDO_0001187,4.0
CHEMBL1024,EFO_0000211,4.0
CHEMBL1024,EFO_1000251,4.0
CHEMBL1024,EFO_1000613,4.0
CHEMBL1024,MONDO_0004992,4.0
CHEMBL1024,EFO_0004281,4.0
CHEMBL1024,EFO_0007362,4.0
CHEMBL1024,MONDO_0008903,4.0
CHEMBL1024,EFO_0000309,4.0
CHEMBL1024,MONDO_0004192,4.0
CHEMBL1024,MONDO_0011962,4.0
CHEMBL1024,EFO_0000313,4.0
CHEMBL1024,EFO_0000616,4.0
CHEMBL1024,EFO_0001378,4.0
CHEMBL1024,MONDO_0002367,4.0
CHEMBL1024,EFO_0000565,4.0
CHEMBL1025,MONDO_0005041,4.0
CHEMBL1026,EFO_0000537,4.0
CHEMBL1026,HP_0001919,4.0
CHEMBL1027,EFO_1001892,4.0
CHEMBL1027,MONDO_0005090,4.0
CHEMBL1027,HP_0001250,4.0
CHEMBL1027,EFO_0000474,4.0
CHEMBL1027,EFO_0002610,4.0
CHEMBL1027,EFO_0003918,4.0
CHEMBL1027,MONDO_0007079,4.0
CHEMBL1027,EFO_0005230,4.0
CHEMBL1029,EFO_0000764,4.0
CHEMBL1029,HP_0002014,4.0
CHEMBL1029,MONDO_0019262,4.0
CHEMBL1029,Orphanet_365,4.0
CHEMBL1029,Orphanet_77259,4.0
CHEMBL1029,MONDO_0017720,4.0
CHEMBL1029,MONDO_0018150,4.0
CHEMBL1029,MONDO_0002412,4.0
CHEMBL1029,MONDO_0018982,4.0
CHEMBL1029,MONDO_0010006,4.0
CHEMBL1029,MONDO_0009061,4.0
CHEMBL1029,MONDO_0019064,4.0
CHEMBL103,MONDO_0005351,4.0
CHEMBL103,HP_0000938,4.0
CHEMBL103,MONDO_0005147,4.0
CHEMBL103,MONDO_0022394,4.0
CHEMBL103,EFO_0010269,4.0
CHEMBL103,MP_0001914,4.0
CHEMBL103,EFO_1000623,4.0
CHEMBL103,EFO_0005204,4.0
CHEMBL103,EFO_0000731,4.0
CHEMBL103,EFO_0000474,4.0
CHEMBL103,EFO_0002950,4.0
CHEMBL103,EFO_1000098,4.0
CHEMBL103,EFO_0001645,4.0
CHEMBL103,EFO_0000400,4.0
CHEMBL103,EFO_0003869,4.0
CHEMBL103,EFO_0000180,4.0
CHEMBL103,EFO_0007453,4.0
CHEMBL103,EFO_0000668,4.0
CHEMBL103,MONDO_0100096,4.0
CHEMBL103,EFO_0003917,4.0
CHEMBL103,MONDO_0007254,4.0
CHEMBL103,EFO_1000645,4.0
CHEMBL103,MONDO_0004975,4.0
CHEMBL103,EFO_0004701,4.0
CHEMBL103,EFO_0000537,4.0
CHEMBL103,EFO_0008560,4.0
CHEMBL103,MONDO_0011972,4.0
CHEMBL103,EFO_0007442,4.0
CHEMBL103,EFO_0007191,4.0
CHEMBL103,EFO_1000985,4.0
CHEMBL103,EFO_0003768,4.0
CHEMBL103,EFO_0000660,4.0
CHEMBL103,EFO_1001465,4.0
CHEMBL103,EFO_0000545,4.0
CHEMBL103,MONDO_0000831,4.0
CHEMBL103,MONDO_0043510,4.0
CHEMBL103,MONDO_0011962,4.0
CHEMBL103,EFO_1001375,4.0
CHEMBL103,EFO_0001072,4.0
CHEMBL103,EFO_0003882,4.0
CHEMBL103,GO_0042697,4.0
CHEMBL103,HP_0003124,4.0
CHEMBL103,EFO_0002610,4.0
CHEMBL103,EFO_0003893,4.0
CHEMBL10316,MONDO_0002009,3.0
CHEMBL10316,MONDO_0004975,3.0
CHEMBL1034,EFO_0009560,4.0
CHEMBL1034,EFO_0010072,4.0
CHEMBL1034,EFO_0002970,4.0
CHEMBL1034,EFO_0004616,4.0
CHEMBL1034,EFO_0000649,4.0
CHEMBL1034,MONDO_0001187,4.0
CHEMBL1034,EFO_0000685,4.0
CHEMBL1034,MP_0001914,4.0
CHEMBL1034,MONDO_0005178,4.0
CHEMBL1034,MONDO_0002959,4.0
CHEMBL1034,HP_0003419,4.0
CHEMBL1034,EFO_0004272,4.0
CHEMBL1034,EFO_0009582,4.0
CHEMBL1034,EFO_0004607,4.0
CHEMBL1034,MP_0001845,4.0
CHEMBL1034,EFO_0003958,4.0
CHEMBL1034,HP_0012532,4.0
CHEMBL1034,EFO_0003843,4.0
CHEMBL1034,EFO_0004274,4.0
CHEMBL1034,EFO_0002496,4.0
CHEMBL1034,HP_0011868,4.0
CHEMBL103667,EFO_0000685,2.0
CHEMBL103667,EFO_0000676,2.0
CHEMBL103735,MONDO_0002120,2.0
CHEMBL103735,EFO_0001378,2.0
CHEMBL103735,MONDO_0004992,2.0
CHEMBL104,MONDO_0002026,4.0
CHEMBL104,EFO_0007512,4.0
CHEMBL104,MONDO_0021201,4.0
CHEMBL104,HP_0000989,4.0
CHEMBL104,EFO_0007510,4.0
CHEMBL104,EFO_0003086,4.0
CHEMBL104,EFO_1000702,4.0
CHEMBL104,EFO_0009365,4.0
CHEMBL104,MONDO_0011382,4.0
CHEMBL104,EFO_0003932,4.0
CHEMBL104,MONDO_0002041,4.0
CHEMBL104,EFO_0007543,4.0
CHEMBL104,EFO_0000544,4.0
CHEMBL104,EFO_0000764,4.0
CHEMBL104,EFO_0007406,4.0
CHEMBL1040,MONDO_0100096,4.0
CHEMBL1040,EFO_0003884,4.0
CHEMBL1040,HP_0001919,4.0
CHEMBL1040,EFO_0000612,4.0
CHEMBL1040,EFO_0003918,4.0
CHEMBL1040,EFO_0005754,4.0
CHEMBL1040,EFO_1001173,4.0
CHEMBL1040,EFO_0003762,4.0
CHEMBL1042,MONDO_0002508,4.0
CHEMBL1042,EFO_0003929,4.0
CHEMBL1042,MONDO_0003778,4.0
CHEMBL1042,EFO_0003917,4.0
CHEMBL1042,EFO_0005406,4.0
CHEMBL1042,MONDO_0008315,4.0
CHEMBL1042,EFO_0000365,4.0
CHEMBL1042,MONDO_0005301,4.0
CHEMBL1042,MONDO_0004979,4.0
CHEMBL1042,MONDO_0008170,4.0
CHEMBL1042,MONDO_0007915,4.0
CHEMBL1042,EFO_0000765,4.0
CHEMBL1042,EFO_0000616,4.0
CHEMBL1042,EFO_0003047,4.0
CHEMBL1042,EFO_0000660,4.0
CHEMBL1042,MONDO_0005271,4.0
CHEMBL1042,EFO_0001073,4.0
CHEMBL1042,MONDO_0007254,4.0
CHEMBL1042,EFO_0003767,4.0
CHEMBL1042,EFO_0009516,4.0
CHEMBL1042,EFO_0003884,4.0
CHEMBL1042,EFO_0007141,4.0
CHEMBL1042,EFO_0002950,4.0
CHEMBL1042,EFO_0005531,4.0
CHEMBL1042,EFO_0000432,4.0
CHEMBL1042,EFO_0007328,4.0
